PING 192.168.2.69 (192.168.2.69) 56(84) bytes of data.
64 bytes from 192.168.2.69: icmp_seq=1 ttl=64 time=0.739 ms
64 bytes from 192.168.2.69: icmp_seq=2 ttl=64 time=0.595 ms
64 bytes from 192.168.2.69: icmp_seq=3 ttl=64 time=0.565 ms
64 bytes from 192.168.2.69: icmp_seq=4 ttl=64 time=0.321 ms
64 bytes from 192.168.2.69: icmp_seq=5 ttl=64 time=0.434 ms
64 bytes from 192.168.2.69: icmp_seq=6 ttl=64 time=0.229 ms
64 bytes from 192.168.2.69: icmp_seq=7 ttl=64 time=0.260 ms
64 bytes from 192.168.2.69: icmp_seq=8 ttl=64 time=0.300 ms
64 bytes from 192.168.2.69: icmp_seq=9 ttl=64 time=0.310 ms
64 bytes from 192.168.2.69: icmp_seq=10 ttl=64 time=0.208 ms
64 bytes from 192.168.2.69: icmp_seq=11 ttl=64 time=0.166 ms
64 bytes from 192.168.2.69: icmp_seq=12 ttl=64 time=0.517 ms
64 bytes from 192.168.2.69: icmp_seq=13 ttl=64 time=0.310 ms
64 bytes from 192.168.2.69: icmp_seq=14 ttl=64 time=0.295 ms
64 bytes from 192.168.2.69: icmp_seq=15 ttl=64 time=0.353 ms
64 bytes from 192.168.2.69: icmp_seq=16 ttl=64 time=0.248 ms
64 bytes from 192.168.2.69: icmp_seq=17 ttl=64 time=0.216 ms
64 bytes from 192.168.2.69: icmp_seq=18 ttl=64 time=0.229 ms
64 bytes from 192.168.2.69: icmp_seq=19 ttl=64 time=0.773 ms
64 bytes from 192.168.2.69: icmp_seq=20 ttl=64 time=0.580 ms
64 bytes from 192.168.2.69: icmp_seq=21 ttl=64 time=0.491 ms
64 bytes from 192.168.2.69: icmp_seq=22 ttl=64 time=0.542 ms
64 bytes from 192.168.2.69: icmp_seq=23 ttl=64 time=0.717 ms
64 bytes from 192.168.2.69: icmp_seq=24 ttl=64 time=0.566 ms
64 bytes from 192.168.2.69: icmp_seq=25 ttl=64 time=0.612 ms
64 bytes from 192.168.2.69: icmp_seq=26 ttl=64 time=0.582 ms
64 bytes from 192.168.2.69: icmp_seq=27 ttl=64 time=0.547 ms
64 bytes from 192.168.2.69: icmp_seq=28 ttl=64 time=0.557 ms
64 bytes from 192.168.2.69: icmp_seq=29 ttl=64 time=0.546 ms
64 bytes from 192.168.2.69: icmp_seq=30 ttl=64 time=0.440 ms
64 bytes from 192.168.2.69: icmp_seq=31 ttl=64 time=0.241 ms
64 bytes from 192.168.2.69: icmp_seq=32 ttl=64 time=0.427 ms
64 bytes from 192.168.2.69: icmp_seq=33 ttl=64 time=0.232 ms
64 bytes from 192.168.2.69: icmp_seq=34 ttl=64 time=0.401 ms
64 bytes from 192.168.2.69: icmp_seq=35 ttl=64 time=0.262 ms
64 bytes from 192.168.2.69: icmp_seq=36 ttl=64 time=0.238 ms
64 bytes from 192.168.2.69: icmp_seq=37 ttl=64 time=0.243 ms
64 bytes from 192.168.2.69: icmp_seq=38 ttl=64 time=0.201 ms
64 bytes from 192.168.2.69: icmp_seq=39 ttl=64 time=0.225 ms
64 bytes from 192.168.2.69: icmp_seq=40 ttl=64 time=0.394 ms
64 bytes from 192.168.2.69: icmp_seq=52 ttl=64 time=0.157 ms
64 bytes from 192.168.2.69: icmp_seq=53 ttl=64 time=0.198 ms
64 bytes from 192.168.2.69: icmp_seq=54 ttl=64 time=0.186 ms
64 bytes from 192.168.2.69: icmp_seq=55 ttl=64 time=0.212 ms
64 bytes from 192.168.2.69: icmp_seq=56 ttl=64 time=0.191 ms
64 bytes from 192.168.2.69: icmp_seq=57 ttl=64 time=0.192 ms
64 bytes from 192.168.2.69: icmp_seq=58 ttl=64 time=0.131 ms
64 bytes from 192.168.2.69: icmp_seq=59 ttl=64 time=0.101 ms
64 bytes from 192.168.2.69: icmp_seq=60 ttl=64 time=0.092 ms
64 bytes from 192.168.2.69: icmp_seq=61 ttl=64 time=0.191 ms
64 bytes from 192.168.2.69: icmp_seq=62 ttl=64 time=0.148 ms
64 bytes from 192.168.2.69: icmp_seq=63 ttl=64 time=0.133 ms
64 bytes from 192.168.2.69: icmp_seq=64 ttl=64 time=0.118 ms
64 bytes from 192.168.2.69: icmp_seq=65 ttl=64 time=0.228 ms
64 bytes from 192.168.2.69: icmp_seq=66 ttl=64 time=0.104 ms
64 bytes from 192.168.2.69: icmp_seq=67 ttl=64 time=0.137 ms
