PING 192.168.2.69 (192.168.2.69) 56(84) bytes of data.
64 bytes from 192.168.2.69: icmp_seq=1 ttl=64 time=0.693 ms
64 bytes from 192.168.2.69: icmp_seq=2 ttl=64 time=0.388 ms
64 bytes from 192.168.2.69: icmp_seq=3 ttl=64 time=0.590 ms
64 bytes from 192.168.2.69: icmp_seq=4 ttl=64 time=0.194 ms
64 bytes from 192.168.2.69: icmp_seq=5 ttl=64 time=0.189 ms
64 bytes from 192.168.2.69: icmp_seq=6 ttl=64 time=0.185 ms
64 bytes from 192.168.2.69: icmp_seq=7 ttl=64 time=0.398 ms
64 bytes from 192.168.2.69: icmp_seq=8 ttl=64 time=0.730 ms
64 bytes from 192.168.2.69: icmp_seq=9 ttl=64 time=0.612 ms
64 bytes from 192.168.2.69: icmp_seq=10 ttl=64 time=0.406 ms
64 bytes from 192.168.2.69: icmp_seq=11 ttl=64 time=0.442 ms
64 bytes from 192.168.2.69: icmp_seq=12 ttl=64 time=0.546 ms
64 bytes from 192.168.2.69: icmp_seq=13 ttl=64 time=0.293 ms
64 bytes from 192.168.2.69: icmp_seq=14 ttl=64 time=0.595 ms
64 bytes from 192.168.2.69: icmp_seq=15 ttl=64 time=0.585 ms
64 bytes from 192.168.2.69: icmp_seq=16 ttl=64 time=0.566 ms
64 bytes from 192.168.2.69: icmp_seq=17 ttl=64 time=0.644 ms
64 bytes from 192.168.2.69: icmp_seq=18 ttl=64 time=0.595 ms
64 bytes from 192.168.2.69: icmp_seq=19 ttl=64 time=0.593 ms
64 bytes from 192.168.2.69: icmp_seq=20 ttl=64 time=0.403 ms
64 bytes from 192.168.2.69: icmp_seq=21 ttl=64 time=0.612 ms
64 bytes from 192.168.2.69: icmp_seq=22 ttl=64 time=0.595 ms
64 bytes from 192.168.2.69: icmp_seq=23 ttl=64 time=0.588 ms
64 bytes from 192.168.2.69: icmp_seq=24 ttl=64 time=0.533 ms
64 bytes from 192.168.2.69: icmp_seq=25 ttl=64 time=0.543 ms
64 bytes from 192.168.2.69: icmp_seq=26 ttl=64 time=0.676 ms
64 bytes from 192.168.2.69: icmp_seq=27 ttl=64 time=0.287 ms
64 bytes from 192.168.2.69: icmp_seq=28 ttl=64 time=0.374 ms
64 bytes from 192.168.2.69: icmp_seq=29 ttl=64 time=0.321 ms
64 bytes from 192.168.2.69: icmp_seq=30 ttl=64 time=0.604 ms
64 bytes from 192.168.2.69: icmp_seq=31 ttl=64 time=0.263 ms
64 bytes from 192.168.2.69: icmp_seq=32 ttl=64 time=0.367 ms
64 bytes from 192.168.2.69: icmp_seq=33 ttl=64 time=0.307 ms
64 bytes from 192.168.2.69: icmp_seq=34 ttl=64 time=0.450 ms
64 bytes from 192.168.2.69: icmp_seq=48 ttl=64 time=0.186 ms
64 bytes from 192.168.2.69: icmp_seq=49 ttl=64 time=0.117 ms
64 bytes from 192.168.2.69: icmp_seq=50 ttl=64 time=0.160 ms
64 bytes from 192.168.2.69: icmp_seq=51 ttl=64 time=0.119 ms
64 bytes from 192.168.2.69: icmp_seq=52 ttl=64 time=0.102 ms
64 bytes from 192.168.2.69: icmp_seq=53 ttl=64 time=0.183 ms
64 bytes from 192.168.2.69: icmp_seq=54 ttl=64 time=0.097 ms
64 bytes from 192.168.2.69: icmp_seq=55 ttl=64 time=0.163 ms
64 bytes from 192.168.2.69: icmp_seq=56 ttl=64 time=0.196 ms
64 bytes from 192.168.2.69: icmp_seq=57 ttl=64 time=0.193 ms
64 bytes from 192.168.2.69: icmp_seq=58 ttl=64 time=0.183 ms
64 bytes from 192.168.2.69: icmp_seq=59 ttl=64 time=0.215 ms
64 bytes from 192.168.2.69: icmp_seq=60 ttl=64 time=0.215 ms
64 bytes from 192.168.2.69: icmp_seq=61 ttl=64 time=0.202 ms
64 bytes from 192.168.2.69: icmp_seq=62 ttl=64 time=0.225 ms
64 bytes from 192.168.2.69: icmp_seq=63 ttl=64 time=0.129 ms
64 bytes from 192.168.2.69: icmp_seq=64 ttl=64 time=0.125 ms
64 bytes from 192.168.2.69: icmp_seq=65 ttl=64 time=0.143 ms
64 bytes from 192.168.2.69: icmp_seq=66 ttl=64 time=0.161 ms
64 bytes from 192.168.2.69: icmp_seq=67 ttl=64 time=0.112 ms
64 bytes from 192.168.2.69: icmp_seq=68 ttl=64 time=0.110 ms
64 bytes from 192.168.2.69: icmp_seq=69 ttl=64 time=0.172 ms
64 bytes from 192.168.2.69: icmp_seq=70 ttl=64 time=0.143 ms
