PING 192.168.2.69 (192.168.2.69) 56(84) bytes of data.
64 bytes from 192.168.2.69: icmp_seq=1 ttl=64 time=0.636 ms
64 bytes from 192.168.2.69: icmp_seq=2 ttl=64 time=0.340 ms
64 bytes from 192.168.2.69: icmp_seq=3 ttl=64 time=0.535 ms
64 bytes from 192.168.2.69: icmp_seq=4 ttl=64 time=0.601 ms
64 bytes from 192.168.2.69: icmp_seq=5 ttl=64 time=0.249 ms
64 bytes from 192.168.2.69: icmp_seq=6 ttl=64 time=0.542 ms
64 bytes from 192.168.2.69: icmp_seq=7 ttl=64 time=0.262 ms
64 bytes from 192.168.2.69: icmp_seq=8 ttl=64 time=0.216 ms
64 bytes from 192.168.2.69: icmp_seq=9 ttl=64 time=0.589 ms
64 bytes from 192.168.2.69: icmp_seq=10 ttl=64 time=0.586 ms
64 bytes from 192.168.2.69: icmp_seq=11 ttl=64 time=0.228 ms
64 bytes from 192.168.2.69: icmp_seq=12 ttl=64 time=0.329 ms
64 bytes from 192.168.2.69: icmp_seq=13 ttl=64 time=0.328 ms
64 bytes from 192.168.2.69: icmp_seq=14 ttl=64 time=0.224 ms
64 bytes from 192.168.2.69: icmp_seq=15 ttl=64 time=0.223 ms
64 bytes from 192.168.2.69: icmp_seq=16 ttl=64 time=0.225 ms
64 bytes from 192.168.2.69: icmp_seq=17 ttl=64 time=5.67 ms
64 bytes from 192.168.2.69: icmp_seq=18 ttl=64 time=0.326 ms
64 bytes from 192.168.2.69: icmp_seq=19 ttl=64 time=0.192 ms
64 bytes from 192.168.2.69: icmp_seq=20 ttl=64 time=0.546 ms
64 bytes from 192.168.2.69: icmp_seq=21 ttl=64 time=0.369 ms
64 bytes from 192.168.2.69: icmp_seq=22 ttl=64 time=0.720 ms
64 bytes from 192.168.2.69: icmp_seq=23 ttl=64 time=0.254 ms
64 bytes from 192.168.2.69: icmp_seq=24 ttl=64 time=0.238 ms
64 bytes from 192.168.2.69: icmp_seq=25 ttl=64 time=0.273 ms
64 bytes from 192.168.2.69: icmp_seq=26 ttl=64 time=0.198 ms
64 bytes from 192.168.2.69: icmp_seq=27 ttl=64 time=0.239 ms
64 bytes from 192.168.2.69: icmp_seq=28 ttl=64 time=0.527 ms
64 bytes from 192.168.2.69: icmp_seq=29 ttl=64 time=0.316 ms
64 bytes from 192.168.2.69: icmp_seq=30 ttl=64 time=0.338 ms
64 bytes from 192.168.2.69: icmp_seq=31 ttl=64 time=0.244 ms
64 bytes from 192.168.2.69: icmp_seq=32 ttl=64 time=0.540 ms
64 bytes from 192.168.2.69: icmp_seq=33 ttl=64 time=0.215 ms
64 bytes from 192.168.2.69: icmp_seq=34 ttl=64 time=0.570 ms
64 bytes from 192.168.2.69: icmp_seq=35 ttl=64 time=0.651 ms
64 bytes from 192.168.2.69: icmp_seq=36 ttl=64 time=0.431 ms
64 bytes from 192.168.2.69: icmp_seq=37 ttl=64 time=0.215 ms
64 bytes from 192.168.2.69: icmp_seq=38 ttl=64 time=0.562 ms
64 bytes from 192.168.2.69: icmp_seq=39 ttl=64 time=0.541 ms
64 bytes from 192.168.2.69: icmp_seq=40 ttl=64 time=0.246 ms
64 bytes from 192.168.2.69: icmp_seq=41 ttl=64 time=0.436 ms
64 bytes from 192.168.2.69: icmp_seq=42 ttl=64 time=0.254 ms
