PING 186.195.16.6 (186.195.16.6) 56(84) bytes of data.
64 bytes from 186.195.16.6: icmp_req=1 ttl=64 time=0.222 ms
64 bytes from 186.195.16.6: icmp_req=2 ttl=64 time=0.183 ms
64 bytes from 186.195.16.6: icmp_req=3 ttl=64 time=0.166 ms
64 bytes from 186.195.16.6: icmp_req=4 ttl=64 time=0.185 ms
64 bytes from 186.195.16.6: icmp_req=5 ttl=64 time=0.141 ms
64 bytes from 186.195.16.6: icmp_req=6 ttl=64 time=0.161 ms
64 bytes from 186.195.16.6: icmp_req=7 ttl=64 time=0.183 ms
64 bytes from 186.195.16.6: icmp_req=8 ttl=64 time=0.172 ms
64 bytes from 186.195.16.6: icmp_req=9 ttl=64 time=0.126 ms
64 bytes from 186.195.16.6: icmp_req=10 ttl=64 time=0.185 ms
64 bytes from 186.195.16.6: icmp_req=11 ttl=64 time=0.193 ms
64 bytes from 186.195.16.6: icmp_req=12 ttl=64 time=0.191 ms
64 bytes from 186.195.16.6: icmp_req=13 ttl=64 time=0.187 ms
64 bytes from 186.195.16.6: icmp_req=14 ttl=64 time=0.153 ms
64 bytes from 186.195.16.6: icmp_req=15 ttl=64 time=0.155 ms
64 bytes from 186.195.16.6: icmp_req=16 ttl=64 time=0.134 ms
64 bytes from 186.195.16.6: icmp_req=17 ttl=64 time=0.188 ms
64 bytes from 186.195.16.6: icmp_req=18 ttl=64 time=0.191 ms
64 bytes from 186.195.16.6: icmp_req=19 ttl=64 time=0.190 ms
64 bytes from 186.195.16.6: icmp_req=20 ttl=64 time=0.104 ms
64 bytes from 186.195.16.6: icmp_req=21 ttl=64 time=0.158 ms
64 bytes from 186.195.16.6: icmp_req=22 ttl=64 time=0.171 ms
64 bytes from 186.195.16.6: icmp_req=23 ttl=64 time=0.171 ms
64 bytes from 186.195.16.6: icmp_req=24 ttl=64 time=0.168 ms
64 bytes from 186.195.16.6: icmp_req=25 ttl=64 time=0.140 ms
64 bytes from 186.195.16.6: icmp_req=26 ttl=64 time=0.081 ms
64 bytes from 186.195.16.6: icmp_req=27 ttl=64 time=0.169 ms
64 bytes from 186.195.16.6: icmp_req=28 ttl=64 time=0.166 ms
64 bytes from 186.195.16.6: icmp_req=29 ttl=64 time=0.157 ms
64 bytes from 186.195.16.6: icmp_req=30 ttl=64 time=0.182 ms
64 bytes from 186.195.16.6: icmp_req=31 ttl=64 time=0.183 ms
64 bytes from 186.195.16.6: icmp_req=32 ttl=64 time=0.168 ms
64 bytes from 186.195.16.6: icmp_req=33 ttl=64 time=0.197 ms
64 bytes from 186.195.16.6: icmp_req=34 ttl=64 time=0.168 ms
64 bytes from 186.195.16.6: icmp_req=35 ttl=64 time=0.158 ms
64 bytes from 186.195.16.6: icmp_req=36 ttl=64 time=0.182 ms
64 bytes from 186.195.16.6: icmp_req=37 ttl=64 time=0.156 ms
64 bytes from 186.195.16.6: icmp_req=38 ttl=64 time=0.192 ms
64 bytes from 186.195.16.6: icmp_req=39 ttl=64 time=0.181 ms
64 bytes from 186.195.16.6: icmp_req=40 ttl=64 time=0.167 ms
64 bytes from 186.195.16.6: icmp_req=41 ttl=64 time=0.107 ms
64 bytes from 186.195.16.6: icmp_req=42 ttl=64 time=0.160 ms
64 bytes from 186.195.16.6: icmp_req=43 ttl=64 time=0.138 ms
64 bytes from 186.195.16.6: icmp_req=44 ttl=64 time=0.173 ms
64 bytes from 186.195.16.6: icmp_req=45 ttl=64 time=0.155 ms
64 bytes from 186.195.16.6: icmp_req=46 ttl=64 time=0.160 ms
64 bytes from 186.195.16.6: icmp_req=47 ttl=64 time=0.152 ms
64 bytes from 186.195.16.6: icmp_req=48 ttl=64 time=0.158 ms
64 bytes from 186.195.16.6: icmp_req=49 ttl=64 time=0.185 ms
64 bytes from 186.195.16.6: icmp_req=50 ttl=64 time=0.151 ms
64 bytes from 186.195.16.6: icmp_req=51 ttl=64 time=0.183 ms
64 bytes from 186.195.16.6: icmp_req=52 ttl=64 time=0.185 ms
64 bytes from 186.195.16.6: icmp_req=53 ttl=64 time=0.185 ms
64 bytes from 186.195.16.6: icmp_req=54 ttl=64 time=0.141 ms
64 bytes from 186.195.16.6: icmp_req=55 ttl=64 time=0.182 ms
64 bytes from 186.195.16.6: icmp_req=56 ttl=64 time=0.183 ms
64 bytes from 186.195.16.6: icmp_req=57 ttl=64 time=0.151 ms
64 bytes from 186.195.16.6: icmp_req=58 ttl=64 time=0.158 ms
64 bytes from 186.195.16.6: icmp_req=59 ttl=64 time=0.192 ms
64 bytes from 186.195.16.6: icmp_req=60 ttl=64 time=0.184 ms
64 bytes from 186.195.16.6: icmp_req=61 ttl=64 time=0.191 ms
64 bytes from 186.195.16.6: icmp_req=62 ttl=64 time=0.183 ms
64 bytes from 186.195.16.6: icmp_req=63 ttl=64 time=0.168 ms
64 bytes from 186.195.16.6: icmp_req=64 ttl=64 time=0.182 ms
