PING 192.168.2.69 (192.168.2.69) 56(84) bytes of data.
64 bytes from 192.168.2.69: icmp_seq=1 ttl=64 time=0.898 ms
64 bytes from 192.168.2.69: icmp_seq=2 ttl=64 time=0.416 ms
64 bytes from 192.168.2.69: icmp_seq=3 ttl=64 time=0.560 ms
64 bytes from 192.168.2.69: icmp_seq=4 ttl=64 time=0.227 ms
64 bytes from 192.168.2.69: icmp_seq=5 ttl=64 time=0.515 ms
64 bytes from 192.168.2.69: icmp_seq=6 ttl=64 time=0.584 ms
64 bytes from 192.168.2.69: icmp_seq=7 ttl=64 time=0.564 ms
64 bytes from 192.168.2.69: icmp_seq=8 ttl=64 time=0.348 ms
64 bytes from 192.168.2.69: icmp_seq=9 ttl=64 time=0.730 ms
64 bytes from 192.168.2.69: icmp_seq=10 ttl=64 time=0.272 ms
64 bytes from 192.168.2.69: icmp_seq=11 ttl=64 time=0.295 ms
64 bytes from 192.168.2.69: icmp_seq=12 ttl=64 time=0.203 ms
64 bytes from 192.168.2.69: icmp_seq=13 ttl=64 time=2.48 ms
64 bytes from 192.168.2.69: icmp_seq=14 ttl=64 time=0.172 ms
64 bytes from 192.168.2.69: icmp_seq=15 ttl=64 time=0.151 ms
64 bytes from 192.168.2.69: icmp_seq=16 ttl=64 time=0.302 ms
64 bytes from 192.168.2.69: icmp_seq=17 ttl=64 time=0.239 ms
64 bytes from 192.168.2.69: icmp_seq=18 ttl=64 time=0.581 ms
64 bytes from 192.168.2.69: icmp_seq=19 ttl=64 time=0.249 ms
64 bytes from 192.168.2.69: icmp_seq=20 ttl=64 time=0.567 ms
64 bytes from 192.168.2.69: icmp_seq=21 ttl=64 time=0.566 ms
64 bytes from 192.168.2.69: icmp_seq=22 ttl=64 time=0.265 ms
64 bytes from 192.168.2.69: icmp_seq=23 ttl=64 time=0.404 ms
64 bytes from 192.168.2.69: icmp_seq=24 ttl=64 time=0.244 ms
64 bytes from 192.168.2.69: icmp_seq=25 ttl=64 time=0.374 ms
64 bytes from 192.168.2.69: icmp_seq=26 ttl=64 time=0.357 ms
64 bytes from 192.168.2.69: icmp_seq=27 ttl=64 time=0.242 ms
64 bytes from 192.168.2.69: icmp_seq=28 ttl=64 time=0.592 ms
64 bytes from 192.168.2.69: icmp_seq=29 ttl=64 time=0.587 ms
64 bytes from 192.168.2.69: icmp_seq=30 ttl=64 time=0.579 ms
64 bytes from 192.168.2.69: icmp_seq=31 ttl=64 time=0.404 ms
64 bytes from 192.168.2.69: icmp_seq=32 ttl=64 time=0.202 ms
64 bytes from 192.168.2.69: icmp_seq=33 ttl=64 time=0.573 ms
64 bytes from 192.168.2.69: icmp_seq=34 ttl=64 time=0.236 ms
64 bytes from 192.168.2.69: icmp_seq=35 ttl=64 time=0.222 ms
64 bytes from 192.168.2.69: icmp_seq=36 ttl=64 time=0.249 ms
64 bytes from 192.168.2.69: icmp_seq=37 ttl=64 time=0.223 ms
64 bytes from 192.168.2.69: icmp_seq=38 ttl=64 time=0.253 ms
64 bytes from 192.168.2.69: icmp_seq=39 ttl=64 time=0.210 ms
64 bytes from 192.168.2.69: icmp_seq=40 ttl=64 time=0.270 ms
64 bytes from 192.168.2.69: icmp_seq=41 ttl=64 time=0.258 ms
64 bytes from 192.168.2.69: icmp_seq=42 ttl=64 time=0.242 ms
64 bytes from 192.168.2.69: icmp_seq=43 ttl=64 time=0.306 ms
64 bytes from 192.168.2.69: icmp_seq=56 ttl=64 time=0.244 ms
64 bytes from 192.168.2.69: icmp_seq=57 ttl=64 time=0.150 ms
64 bytes from 192.168.2.69: icmp_seq=58 ttl=64 time=0.129 ms
64 bytes from 192.168.2.69: icmp_seq=59 ttl=64 time=0.108 ms
64 bytes from 192.168.2.69: icmp_seq=60 ttl=64 time=0.137 ms
64 bytes from 192.168.2.69: icmp_seq=61 ttl=64 time=0.104 ms
64 bytes from 192.168.2.69: icmp_seq=62 ttl=64 time=0.111 ms
64 bytes from 192.168.2.69: icmp_seq=63 ttl=64 time=0.127 ms
64 bytes from 192.168.2.69: icmp_seq=64 ttl=64 time=0.116 ms
64 bytes from 192.168.2.69: icmp_seq=65 ttl=64 time=0.124 ms
64 bytes from 192.168.2.69: icmp_seq=66 ttl=64 time=0.073 ms
64 bytes from 192.168.2.69: icmp_seq=67 ttl=64 time=0.135 ms
64 bytes from 192.168.2.69: icmp_seq=68 ttl=64 time=0.120 ms
64 bytes from 192.168.2.69: icmp_seq=69 ttl=64 time=0.167 ms
64 bytes from 192.168.2.69: icmp_seq=70 ttl=64 time=0.180 ms
64 bytes from 192.168.2.69: icmp_seq=71 ttl=64 time=0.124 ms
64 bytes from 192.168.2.69: icmp_seq=72 ttl=64 time=0.228 ms
