PING 192.168.2.69 (192.168.2.69) 56(84) bytes of data.
64 bytes from 192.168.2.69: icmp_seq=94 ttl=64 time=0.192 ms
64 bytes from 192.168.2.69: icmp_seq=95 ttl=64 time=0.177 ms
64 bytes from 192.168.2.69: icmp_seq=96 ttl=64 time=0.115 ms
64 bytes from 192.168.2.69: icmp_seq=97 ttl=64 time=0.198 ms
64 bytes from 192.168.2.69: icmp_seq=98 ttl=64 time=0.216 ms
64 bytes from 192.168.2.69: icmp_seq=99 ttl=64 time=0.106 ms
64 bytes from 192.168.2.69: icmp_seq=100 ttl=64 time=0.177 ms
64 bytes from 192.168.2.69: icmp_seq=101 ttl=64 time=0.192 ms
64 bytes from 192.168.2.69: icmp_seq=102 ttl=64 time=0.192 ms
64 bytes from 192.168.2.69: icmp_seq=103 ttl=64 time=0.181 ms
64 bytes from 192.168.2.69: icmp_seq=104 ttl=64 time=0.145 ms
64 bytes from 192.168.2.69: icmp_seq=105 ttl=64 time=0.205 ms
64 bytes from 192.168.2.69: icmp_seq=106 ttl=64 time=0.181 ms
64 bytes from 192.168.2.69: icmp_seq=107 ttl=64 time=0.184 ms
64 bytes from 192.168.2.69: icmp_seq=108 ttl=64 time=0.129 ms
64 bytes from 192.168.2.69: icmp_seq=109 ttl=64 time=0.112 ms
64 bytes from 192.168.2.69: icmp_seq=110 ttl=64 time=0.157 ms
64 bytes from 192.168.2.69: icmp_seq=111 ttl=64 time=0.152 ms
64 bytes from 192.168.2.69: icmp_seq=112 ttl=64 time=0.147 ms
64 bytes from 192.168.2.69: icmp_seq=113 ttl=64 time=0.100 ms
64 bytes from 192.168.2.69: icmp_seq=114 ttl=64 time=0.195 ms
64 bytes from 192.168.2.69: icmp_seq=115 ttl=64 time=0.188 ms
64 bytes from 192.168.2.69: icmp_seq=116 ttl=64 time=0.141 ms
64 bytes from 192.168.2.69: icmp_seq=117 ttl=64 time=0.178 ms
64 bytes from 192.168.2.69: icmp_seq=118 ttl=64 time=0.157 ms
64 bytes from 192.168.2.69: icmp_seq=119 ttl=64 time=0.143 ms
64 bytes from 192.168.2.69: icmp_seq=120 ttl=64 time=0.211 ms
64 bytes from 192.168.2.69: icmp_seq=121 ttl=64 time=0.098 ms
64 bytes from 192.168.2.69: icmp_seq=122 ttl=64 time=0.150 ms

--- 192.168.2.69 ping statistics ---
122 packets transmitted, 110 received, 9% packet loss, time 121012ms
rtt min/avg/max/mdev = 0.098/0.250/0.862/0.163 ms
