PING 192.168.2.69 (192.168.2.69) 56(84) bytes of data.
64 bytes from 192.168.2.69: icmp_seq=1 ttl=64 time=0.578 ms
64 bytes from 192.168.2.69: icmp_seq=2 ttl=64 time=0.297 ms
64 bytes from 192.168.2.69: icmp_seq=3 ttl=64 time=0.549 ms
64 bytes from 192.168.2.69: icmp_seq=4 ttl=64 time=0.594 ms
64 bytes from 192.168.2.69: icmp_seq=5 ttl=64 time=0.581 ms
64 bytes from 192.168.2.69: icmp_seq=6 ttl=64 time=0.529 ms
64 bytes from 192.168.2.69: icmp_seq=7 ttl=64 time=0.172 ms
64 bytes from 192.168.2.69: icmp_seq=8 ttl=64 time=0.178 ms
64 bytes from 192.168.2.69: icmp_seq=9 ttl=64 time=0.253 ms
64 bytes from 192.168.2.69: icmp_seq=10 ttl=64 time=0.396 ms
64 bytes from 192.168.2.69: icmp_seq=11 ttl=64 time=0.263 ms
64 bytes from 192.168.2.69: icmp_seq=12 ttl=64 time=0.251 ms
64 bytes from 192.168.2.69: icmp_seq=13 ttl=64 time=0.231 ms
64 bytes from 192.168.2.69: icmp_seq=14 ttl=64 time=0.613 ms
64 bytes from 192.168.2.69: icmp_seq=15 ttl=64 time=0.299 ms
64 bytes from 192.168.2.69: icmp_seq=16 ttl=64 time=0.741 ms
64 bytes from 192.168.2.69: icmp_seq=17 ttl=64 time=0.581 ms
64 bytes from 192.168.2.69: icmp_seq=18 ttl=64 time=0.614 ms
64 bytes from 192.168.2.69: icmp_seq=19 ttl=64 time=0.620 ms
64 bytes from 192.168.2.69: icmp_seq=20 ttl=64 time=0.649 ms
64 bytes from 192.168.2.69: icmp_seq=21 ttl=64 time=0.399 ms
64 bytes from 192.168.2.69: icmp_seq=22 ttl=64 time=0.402 ms
64 bytes from 192.168.2.69: icmp_seq=23 ttl=64 time=0.695 ms
64 bytes from 192.168.2.69: icmp_seq=24 ttl=64 time=0.574 ms
64 bytes from 192.168.2.69: icmp_seq=25 ttl=64 time=0.565 ms
64 bytes from 192.168.2.69: icmp_seq=26 ttl=64 time=0.552 ms
64 bytes from 192.168.2.69: icmp_seq=27 ttl=64 time=0.553 ms
64 bytes from 192.168.2.69: icmp_seq=28 ttl=64 time=0.342 ms
64 bytes from 192.168.2.69: icmp_seq=29 ttl=64 time=0.594 ms
64 bytes from 192.168.2.69: icmp_seq=30 ttl=64 time=0.616 ms
64 bytes from 192.168.2.69: icmp_seq=31 ttl=64 time=0.210 ms
64 bytes from 192.168.2.69: icmp_seq=32 ttl=64 time=0.318 ms
64 bytes from 192.168.2.69: icmp_seq=33 ttl=64 time=0.207 ms
64 bytes from 192.168.2.69: icmp_seq=34 ttl=64 time=0.249 ms
64 bytes from 192.168.2.69: icmp_seq=35 ttl=64 time=0.465 ms
64 bytes from 192.168.2.69: icmp_seq=36 ttl=64 time=0.228 ms
64 bytes from 192.168.2.69: icmp_seq=50 ttl=64 time=0.147 ms
64 bytes from 192.168.2.69: icmp_seq=51 ttl=64 time=0.155 ms
64 bytes from 192.168.2.69: icmp_seq=52 ttl=64 time=0.183 ms
64 bytes from 192.168.2.69: icmp_seq=53 ttl=64 time=0.174 ms
64 bytes from 192.168.2.69: icmp_seq=54 ttl=64 time=0.186 ms
64 bytes from 192.168.2.69: icmp_seq=55 ttl=64 time=0.141 ms
64 bytes from 192.168.2.69: icmp_seq=56 ttl=64 time=0.181 ms
64 bytes from 192.168.2.69: icmp_seq=57 ttl=64 time=0.181 ms
64 bytes from 192.168.2.69: icmp_seq=58 ttl=64 time=0.143 ms
64 bytes from 192.168.2.69: icmp_seq=59 ttl=64 time=0.108 ms
64 bytes from 192.168.2.69: icmp_seq=60 ttl=64 time=0.539 ms
64 bytes from 192.168.2.69: icmp_seq=61 ttl=64 time=0.113 ms
64 bytes from 192.168.2.69: icmp_seq=62 ttl=64 time=0.096 ms
