PING 192.168.2.69 (192.168.2.69) 56(84) bytes of data.
64 bytes from 192.168.2.69: icmp_seq=1 ttl=64 time=0.476 ms
64 bytes from 192.168.2.69: icmp_seq=2 ttl=64 time=0.578 ms
64 bytes from 192.168.2.69: icmp_seq=3 ttl=64 time=2.26 ms
64 bytes from 192.168.2.69: icmp_seq=4 ttl=64 time=0.188 ms
64 bytes from 192.168.2.69: icmp_seq=5 ttl=64 time=0.547 ms
64 bytes from 192.168.2.69: icmp_seq=6 ttl=64 time=0.369 ms
64 bytes from 192.168.2.69: icmp_seq=7 ttl=64 time=0.227 ms
64 bytes from 192.168.2.69: icmp_seq=8 ttl=64 time=0.555 ms
64 bytes from 192.168.2.69: icmp_seq=9 ttl=64 time=0.231 ms
64 bytes from 192.168.2.69: icmp_seq=10 ttl=64 time=0.240 ms
64 bytes from 192.168.2.69: icmp_seq=11 ttl=64 time=0.241 ms
64 bytes from 192.168.2.69: icmp_seq=12 ttl=64 time=0.261 ms
64 bytes from 192.168.2.69: icmp_seq=13 ttl=64 time=0.600 ms
64 bytes from 192.168.2.69: icmp_seq=14 ttl=64 time=0.323 ms
64 bytes from 192.168.2.69: icmp_seq=15 ttl=64 time=0.213 ms
64 bytes from 192.168.2.69: icmp_seq=16 ttl=64 time=0.178 ms
64 bytes from 192.168.2.69: icmp_seq=17 ttl=64 time=0.644 ms
64 bytes from 192.168.2.69: icmp_seq=18 ttl=64 time=0.737 ms
64 bytes from 192.168.2.69: icmp_seq=19 ttl=64 time=0.710 ms
64 bytes from 192.168.2.69: icmp_seq=20 ttl=64 time=0.560 ms
64 bytes from 192.168.2.69: icmp_seq=21 ttl=64 time=0.217 ms
64 bytes from 192.168.2.69: icmp_seq=22 ttl=64 time=0.632 ms
64 bytes from 192.168.2.69: icmp_seq=23 ttl=64 time=0.399 ms
64 bytes from 192.168.2.69: icmp_seq=24 ttl=64 time=0.630 ms
64 bytes from 192.168.2.69: icmp_seq=25 ttl=64 time=0.559 ms
64 bytes from 192.168.2.69: icmp_seq=26 ttl=64 time=0.551 ms
64 bytes from 192.168.2.69: icmp_seq=27 ttl=64 time=0.304 ms
64 bytes from 192.168.2.69: icmp_seq=28 ttl=64 time=0.546 ms
64 bytes from 192.168.2.69: icmp_seq=29 ttl=64 time=0.545 ms
64 bytes from 192.168.2.69: icmp_seq=30 ttl=64 time=0.545 ms
64 bytes from 192.168.2.69: icmp_seq=31 ttl=64 time=0.188 ms
64 bytes from 192.168.2.69: icmp_seq=32 ttl=64 time=0.346 ms
64 bytes from 192.168.2.69: icmp_seq=33 ttl=64 time=0.234 ms
64 bytes from 192.168.2.69: icmp_seq=59 ttl=64 time=0.108 ms
64 bytes from 192.168.2.69: icmp_seq=60 ttl=64 time=0.158 ms
64 bytes from 192.168.2.69: icmp_seq=61 ttl=64 time=0.200 ms
64 bytes from 192.168.2.69: icmp_seq=62 ttl=64 time=0.102 ms
64 bytes from 192.168.2.69: icmp_seq=63 ttl=64 time=0.165 ms
64 bytes from 192.168.2.69: icmp_seq=64 ttl=64 time=0.180 ms
64 bytes from 192.168.2.69: icmp_seq=65 ttl=64 time=0.171 ms
64 bytes from 192.168.2.69: icmp_seq=66 ttl=64 time=0.118 ms
